facility_name,address,unique_lga,state,latitude,longitude,emergency_transport,ratings
PHCC Nkwo Enugwu Ukwu,"Njikoka, Anambra",anambra_njikoka, Anambra,6.17010684,6.99908333,False,2
Gbagi PHC aba alfa,"Olorunda Abba Road, Lagelu, Oyo",oyo_lagelu, Oyo,7.45788463,3.95503251,False,2
Heritage maternity & child welfare clinic not Aanu oluwa,"Ibiti Road, Lagelu, Oyo",oyo_lagelu, Oyo,7.46710826,4.06619045,False,2
Phc,"Dobogi, Niger",niger_borgu, Niger,10.424625,3.89926833333333,True,3
PHCC INEMEH,"Ibaji, Kogi",kogi_ibaji, Kogi,6.84233833333333,6.64858833333333,False,4
God blossoming heritage maternity clinic,"Iwo Road, Lagelu, Oyo",oyo_lagelu, Oyo,7.46849384,4.08896701,False,3
PHC Afara,"Rumu Chita-Igrita-Afara-Umaturu Road, Etche, Rivers",rivers_etche, Rivers,5.08339469,7.0872314,False,4
Gwarta Health Post,"Kunya-Baba, Jigawa",jigawa_yankwashi, Jigawa,12.8133791685104,8.51810574531555,False,2
Primary Health Clinic Achilafiya,"Kunya-Baba, Jigawa",jigawa_yankwashi, Jigawa,12.7969640493393,8.39514791965485,False,3
Phc,"Dobogi, Niger",niger_borgu, Niger,10.4284616666667,3.81692,True,1
Ercc clinic ungwar ibrahim,"Ambe-Sarki, Kaduna",kaduna_sanga, Kaduna,9.37003048,8.59289774,True,1
Health Post Uruokpala,"Njikoka, Anambra",anambra_njikoka, Anambra,6.17437173,6.971315,False,1
Dugga Health Clinic,"Dobogi, Niger",niger_borgu, Niger,10.479245,4.45584,False,4
Phc,"Dobogi, Niger",niger_borgu, Niger,10.48022,3.896085,True,4
Primary Health Clinic,"Dobogi, Niger",niger_borgu, Niger,10.433425,4.451865,False,2
primary health care centre okoroba,"Ogbia, Bayelsa",bayelsa_nembe, Bayelsa,4.6319442987442,6.42702341079712,False,4
NDIENYI HEALTH CLINIC,"Izzi, Ebonyi",ebonyi_izzi, Ebonyi,6.66705965995789,8.18823158740997,False,2
Primary Health Centre,"Yenegoa, Bayelsa",bayelsa_yenagoa, Bayelsa,5.13694042,6.43046166,True,2
IZENYI HEALTH POST,"Izzi, Ebonyi",ebonyi_izzi, Ebonyi,6.65650248527527,8.18406343460083,False,1
Primary Health Centre,"Kreigani Road, Ogba/Egbema/Ndoni, Rivers",bayelsa_yenagoa, Rivers,5.24238421,6.53408105,False,3
Primary Health Centre Agbura,"Ogbia, Bayelsa",bayelsa_yenagoa, Bayelsa,4.84662476,6.26938924,False,2
Sabon garin Nasarawa Dispensary,"Sabua, Katsina",katsina_dutsin_ma, Katsina,12.45637213,7.5491522,False,1
ripus hospital,"Enepa Road, Yenegoa, Bayelsa",bayelsa_yenagoa, Bayelsa,4.93683099746704,6.31903767585754,True,4
everly medical centre,"Akoi Road, Yenegoa, Bayelsa",bayelsa_yenagoa, Bayelsa,4.94195401668549,6.31964385509491,True,4
Unguwar Karyo Dispensary,"Hinanbiro, Kebbi",kebbi_birnin_kebbi, Kebbi,12.5150821,4.15219806,False,1
Ayaragu PHC,"Ivo, Ebonyi",ebonyi_ivo, Ebonyi,5.87717056274414,7.57583498954773,False,4
IULEHA CLINIC AND MATERNITY HOME,"Owan West, Edo",edo_owan_west, Edo,7.0007595,5.90622901,False,4
ANOITTED MATERNITY HOME,"Owan East, Edo",edo_owan_west, Edo,6.87089076,5.95250858,True,4
22 Brigade sobi cantonment medical centre,"Ilorin West, Kwara",kwara_ilorin_east, Kwara,8.56116636,4.55376202,True,1
ODION MEDICAL CENTRE,"Owan East, Edo",edo_owan_west, Edo,6.86528448,5.95063189,False,1
IHIEVBE PHC,"Owan East, Edo",edo_owan_east, Edo,7.03987308,6.12334943,False,3
MAKI HEALTH CENTER,"Songeli, Adamawa",adamawa_hong, Adamawa,10.37921286,13.03961752,False,4
NWANI MEDICAL CENTRE,"Owan East, Edo",edo_owan_east, Edo,6.97264529,6.04273863,True,3
BJ NURSING AND MATERNITY HOME,"Owan East, Edo",edo_owan_east, Edo,6.97862695,6.04796053,True,1
EKPESA PHC,"Igarra-Aiyegunle-Ibillo-Adugi Road, Owan East, Edo",edo_akoko_edo, Edo,7.42618012,6.07563994,True,4
EMABU MODEL PHC,"Owan East, Edo",edo_owan_east, Edo,7.04417009,6.13217571,False,3
Ohanmi PHC,"Owan East, Edo",edo_owan_east, Edo,7.09578915,6.00223986,True,4
"Basic Health Centre, Ayedaade","Ifedayo, Osun",osun_ifedayo, Osun,7.96027661,4.9779768,False,1
Amoya Phc,"Owan East, Edo",edo_owan_east, Edo,7.1732822,5.99598495,True,4
Imafun Osi Phc,"Owan East, Edo",edo_owan_east, Edo,7.19875987,5.97494176,True,3
Urhe Ikao PHC,"Owan East, Edo",edo_owan_east, Edo,7.20532106,6.0311767,True,1
Model PHC Ivbiaro,"Owan East, Edo",edo_owan_east, Edo,7.05053199,6.17345915,True,1
Yunusa Clinic,"Ambe-Sarki, Kaduna",kaduna_makarfi, Kaduna,11.36693942,7.8288337,True,4
AMARATA HEALTH CENTRE,"Mbiama Yenagoa Road, Yenegoa, Bayelsa",bayelsa_yenagoa, Bayelsa,4.93138074874878,6.28865897655487,False,2
ST PETERS HOSPITAL,"Mbiama Yenagoa Road, Yenegoa, Bayelsa",bayelsa_yenagoa, Bayelsa,4.92778122425079,6.29175961017609,True,1
"Primary Health Centre, Eleesi","Ifon Elebe Junction Road, Orolu, Osun",osun_orolu, Osun,7.8647464,4.48350952,True,4
"Primary Health Centre, Bolorunduro","Orolu, Osun",osun_orolu, Osun,7.84821656,4.47883104,True,1
CONVICTION MATERNITY HOME,"Ekinado Street, Ikpoba-Okha, Edo",edo_ikpoba_okha, Edo,6.32688045501709,5.65577030181885,True,4
Mutuku Health Clinic,"Songeli, Adamawa",adamawa_hong, Adamawa,10.29497079,12.95954748,True,2
Gaya Faâa Health Clinic,"Songeli, Adamawa",adamawa_hong, Adamawa,10.4652727,12.98543823,True,4
Musuda Health Clinic,"Songeli, Adamawa",adamawa_hong, Adamawa,10.38331961,12.9194419,True,3
Primary Health Care Centre,"Songeli, Adamawa",adamawa_hong, Adamawa,10.36248403,12.86686479,True,1
Zah Health Clinic,"Songeli, Adamawa",adamawa_hong, Adamawa,10.41064371,12.74252595,True,2
Uban Doma Disp,"Hinanbiro, Kebbi",kebbi_zuru, Kebbi,11.45437264,5.35212073,False,4
Tamawa clinic & maternity,"Yola-Mubi Road, Songeli, Adamawa",adamawa_michika, Adamawa,10.6264293,13.38737963,True,4
AZUKPARA AMAGENYIGBA HEALTH CENTRE,"Abakaliki, Ebonyi",ebonyi_abakaliki, Ebonyi,6.25883525,8.0908125,False,4
EVANGEL MISSION CLINIC,"Abakaliki, Ebonyi",ebonyi_abakaliki, Ebonyi,6.24772662,8.10635431,False,2
"NEW TIMBER HEALTH CENTRE, NKWAGU","Abakaliki, Ebonyi",ebonyi_abakaliki, Ebonyi,6.23825692,8.10012839,False,1
EBIA UNUHU HEALTH CENTRE,"Abakaliki, Ebonyi",ebonyi_abakaliki, Ebonyi,6.23136679,8.07709221,False,3
Basorun/Odo Oje PHC,"Ifon Elebe Junction Road, Orolu, Osun",osun_orolu, Osun,7.85737843,4.48552241,True,3
Aisha Alansariya,"Ecwa Road, Kaduna, Kaduna",kaduna_igabi, Kaduna,10.52508413,7.39007941,False,4
Nasiha Clinic,"Zaria Road, Kaduna, Kaduna",kaduna_igabi, Kaduna,10.52799619,7.38750677,False,2
PHC,"Ekeremor, Bayelsa",bayelsa_ekeremor, Bayelsa,4.98258411884308,5.52197098731995,False,1
Rahman Hospital,"Kaduna, Kaduna",kaduna_igabi, Kaduna,10.59467347,7.40110593,True,1
Bethel Clinic and Maternity,"Kaduna, Kaduna",kaduna_igabi, Kaduna,10.59372929,7.39998623,True,1
Argungu Town HF,"Argungu, Kebbi",kebbi_argungu, Kebbi,12.74712271,4.52367704,True,2
ELINWOVU GENERAL HOSPITAL,"Abakaliki, Ebonyi",ebonyi_abakaliki, Ebonyi,6.21036212,8.11209281,True,1
Primary health centre,"Sagbama, Bayelsa",bayelsa_sagbama, Bayelsa,5.02730067,6.15449933,False,3
Kukar Tunkara Dispensary,"Hinanbiro, Kebbi",kebbi_arewa_dandi, Kebbi,12.36826382,3.7365238,False,3
ruwan gora dispensary,"Tungan Magera-Kagara-Bolani-Anka Junction Road, Kwiambana, Zamfara",zamfara_talata_mafara, Zamfara,12.289565205574,6.02043807506561,True,4
NWOFE HEALTH CENTRE,"Ugbodo-Okwaraka Road, Ebonyi, Ebonyi",ebonyi_izzi, Ebonyi,6.51598691940308,8.16330850124359,False,2
Kulende Housing Estate Health Centre,"Jebba Road, Ilorin West, Kwara",kwara_ilorin_south, Kwara,8.51659617,4.58785251,False,2
De-New Ayetoro Medical Centre,"Lagos, Lagos",lagos_ojo, Lagos,6.49845135,3.14425708,True,2
"LG Clinic,  Bweru","Baruten, Kwara",kwara_baruten, Kwara,9.66533833333333,3.44323833333333,False,3
Grace mobolaji maternity,"Ojo Igbede Road, Lagos, Lagos",lagos_ojo, Lagos,6.45458031,3.13936913,False,3
Nasara clinic,"K110, Sabua, Katsina",katsina_kankara, Katsina,11.93502535,7.41419269,False,3
Yo Omolara Medical Home,"Ado Odo/Ota, Ogun",lagos_badagry, Ogun,6.50298131,3.0265433,True,3
Tobolo Health Centre,"Egbado/Yewa North, Ogun",ogun_yewa_north, Ogun,7.25077723,2.77348283,False,4
Kemberi Outreach Centre,"Ifelodun Street, Lagos, Lagos",lagos_ojo, Lagos,6.46698713,3.18736138,False,1
WAPC PHC,"Badagry, Lagos",lagos_badagry, Lagos,6.41544321,2.99058686,True,1
Oluwasola clinic,"Akoko South-East, Ondo",ondo_akoko_south_east, Ondo,7.44207,5.89993833333333,False,3
Seme Primary Health Centre,"Lagos-Badagry Expressway, Badagry, Lagos",lagos_badagry, Lagos,6.37930457,2.71120424,False,1
"Primary Health Care Clinic, Angwan Damen","Bakko, Plateau",plateau_qua_an_pan, Plateau,8.63182591,9.21007059,False,4
"Primary health Care Clinic, vutu","Bakko, Plateau",plateau_qua_an_pan, Plateau,8.84349001,9.32175586,False,2
"Anzotsa Memorial Clinic and maternity, Namu","Bakko, Plateau",plateau_qua_an_pan, Plateau,8.69032722,9.10120318,False,4
"Goodnews Dispansary, shindai","Bakko, Plateau",plateau_qua_an_pan, Plateau,8.78748074,9.14914231,False,2
"Ken Dispensary, Mangoro Uku","Bakko, Plateau",plateau_qua_an_pan, Plateau,8.71056435,9.16750014,False,4
PHC Kuraye,"Ambe-Sarki, Kaduna",kaduna_kubau, Kaduna,11.01846707,8.27343637,False,3
PHC Gedege,"Ambe-Sarki, Kaduna",kaduna_kubau, Kaduna,11.1043154,8.31287296,False,4
Local Government Clinic Gwane Kosubosu,"Gwazero-Kosubosu-Boredr Road, Baruten, Kwara",kwara_baruten, Kwara,9.52494201,3.33361159,False,4
PHC Rikochi,"Ambe-Sarki, Kaduna",kaduna_kubau, Kaduna,10.99471365,8.33730798,False,3
Dukawa Health Post,"Wudil, Kano",kano_kura, Kano,11.79666538,8.53356834,False,4
Zamava Clinic,"Sara, Bauchi",bauchi_bogoro, Bauchi,9.63145384,9.54318739,True,3
Adejoke Hospital & Maternity Home,"Ado Odo/Ota, Ogun",lagos_badagry, Ogun,6.50547211,3.00624273,True,2
CHARITY HOSPITALABUGA,"Adavi Road, Adavi, Kogi",kogi_okene, Kogi,7.556015,6.19017333333333,True,4
Iba PHC,"Oniba Drive, Lagos, Lagos",lagos_ojo, Lagos,6.50742094,3.19950838,True,1
Mercy of Godâs Glory Health Services,"Ido, Oyo",oyo_ido, Oyo,7.37479834,3.80086608,True,1
Health centre,"Moro, Kwara",kwara_moro, Kwara,8.69833426,4.68124095,False,3
Health post,"Moro, Kwara",kwara_moro, Kwara,8.67598838,4.7098199,False,4
H.C okutala,"Moro, Kwara",kwara_moro, Kwara,8.70014169,4.70355163,False,3
OWNER OCCUPIER CLINIC,"Makurdi, Benue",benue_makurdi, Benue,7.69802033901215,8.55200350284576,True,2
Baaji Specialist Hospital,"Church Street, Lagos, Lagos",lagos_ikeja, Lagos,6.59706123,3.34400849,True,3
Godâs Love Maternity Home,"Kodesho Street, Lagos, Lagos",lagos_ikeja, Lagos,6.59374729,3.34233276,True,2
Dolu Hospital,"Sumola Abayomi Street, Lagos, Lagos",lagos_oshodi_isolo, Lagos,6.55981999,3.33649866,False,2
Ajibulu PHC,"Adisa Ajibulu Street, Lagos, Lagos",lagos_oshodi_isolo, Lagos,6.56078367,3.33168761,False,4
Gamki Dispensary,"Sara, Bauchi",bauchi_dass, Bauchi,10.0143416666667,9.45402333333333,False,2
Alkalerin Yelo Primary Health Centre,"Sara, Bauchi",bauchi_alkaleri, Bauchi,9.700525,10.7924433333333,False,4
Life Care Clinic,"Alhaji Tokunbo Street, Lagos, Lagos",lagos_ikeja, Lagos,6.59741595,3.34857955,True,3
Ostard Specialist Hospital,"Idowu Street, Lagos, Lagos",lagos_ajeromi_ifelodun, Lagos,6.44647254,3.32676782,False,4
Adeyemi Hospital,"Joga Street, Lagos, Lagos",lagos_oshodi_isolo, Lagos,6.53640833,3.32320397,False,4
Heda Hospital,"Robinson Gbagii Close, Lagos, Lagos",lagos_oshodi_isolo, Lagos,6.54613451,3.32411718,True,2
Ojumiri Medical,"Akinsanya Street, Lagos, Lagos",lagos_oshodi_isolo, Lagos,6.54921384,3.31867652,True,3
Muskat hospital,"Lagos, Lagos",lagos_ojo, Lagos,6.46161392,3.15382133,True,3
Owode Balogun Health Centre,"Egbado/Yewa North, Ogun",ogun_yewa_north, Ogun,6.94120369,2.87351216,True,2
Gwaram B Maternity,"Sara, Bauchi",bauchi_alkaleri, Bauchi,10.1795616666667,10.18405,True,1
Badejo Poly Clinic Anex,"Egbado/Yewa North, Ogun",ogun_yewa_north, Ogun,7.26348191,2.76409896,False,1
St. Dominic Savio Hospital & Maternity,"Uzoegwu Street, Oyi, Anambra",anambra_idemili_north, Anambra,6.15156127,6.83887806,False,3
L.G clinic,"Baruten, Kwara",kwara_baruten, Kwara,8.97159679,3.16755189,False,3
Health Post Nkpor-Uno,"Oyi, Anambra",anambra_idemili_north, Anambra,6.12697757,6.86352321,False,2
St. Michael Hospital,"Idemili North, Anambra",anambra_idemili_north, Anambra,6.10393554,6.88766989,True,2
Ekisola Medical Clinic,"Egbado/Yewa North, Ogun",ogun_yewa_north, Ogun,7.06167963,2.98274247,True,3
"Dispensary, Gwette","Baruten, Kwara",kwara_baruten, Kwara,9.83742,3.48128166666667,False,1
"Ogbu PHC, Abatete","Idemili North, Anambra",anambra_idemili_north, Anambra,6.11763459,6.93766905,False,3
Basic Health Centre,"Idanre, Ondo",ondo_idanre, Ondo,7.02002227306366,5.17799913883209,False,4
Agbaja Health Post,"Idemili North, Anambra",anambra_idemili_north, Anambra,6.13369132,6.93913598,False,4
Achufusi Hospital & Maternity,"Idemili North, Anambra",anambra_idemili_north, Anambra,6.13175943,6.91975509,True,4
OGBAGU HEALTH CENTRE,"Umuenieka Road, Nsukka, Enugu",enugu_nsukka, Enugu,6.80937767028809,7.3731404542923,False,1
Odida PHC,"Idemili North, Anambra",anambra_idemili_north, Anambra,6.10650675,6.95799883,False,4
Amuyanju Clinic,"Egbado/Yewa North, Ogun",ogun_yewa_north, Ogun,7.15158736,2.85121543,True,4
Igan Alade Health Centre,"Egbado/Yewa North, Ogun",ogun_yewa_north, Ogun,7.05597355,2.90357755,True,3
Oge Zion Maternity,"Owerri Municipal, Imo",imo_owerri_north, Imo,5.46427667140961,7.10777878761292,True,4
Immanuel Hospital Emekuku,"Owerri North, Imo",imo_owerri_north, Imo,5.4803055524826,7.12069094181061,True,1
Fanyabo healthpost,"Wudil, Kano",kano_doguwa, Kano,11.11460386,8.54623909,False,4
Gonki Dispensary,"Hinanbiro, Kebbi",kebbi_arewa_dandi, Kebbi,12.24230197,3.68359099,False,4
Fala health post,"Wudil, Kano",kano_tudun_wada, Kano,11.40778357,8.77165449,False,4
Chigozie Maternity Home,"Onitsha-Owerri Road, Oru East, Imo",imo_mbaitoli, Imo,5.63137292861938,6.95697426795959,True,1
Okwu Emeke Health Centre,"Owerri North, Imo",imo_owerri_north, Imo,5.48326134681702,7.11672127246857,False,4
BULKACHUWA DISPENSARY,"Sara, Bauchi",bauchi_katagum, Bauchi,11.6477583333333,10.5213483333333,True,1
Edozie Clinic and Maternity,"Owerri Municipal, Imo",imo_owerri_north, Imo,5.47403454780579,7.08739936351776,True,1
Catholic Mission Maternity Umuawada,"Ezinihitte Mbaise, Imo",imo_ezinihitte, Imo,5.5055558681488,7.32629299163818,False,1
MDGs Health Center Ihiagwa,"Owerri West, Imo",imo_owerri_west, Imo,5.39968489752097,6.99965560164867,False,3
Dogon kawo healthpost,"Wudil, Kano",kano_doguwa, Kano,11.1752196,8.55731038,False,1
BUJUM PHC,"Mallan-Kagwa, Taraba",taraba_lau, Taraba,9.30624604225159,11.6164165735245,True,4
Homo Care Hospital,"Ifeloju Street, Olorunda, Osun",osun_olorunda, Osun,7.78809662,4.57594763,True,4
"LG Dispensary, Yashikira","Baruten, Kwara",kwara_baruten, Kwara,9.76913833333333,3.39569666666667,False,3
PRIMARY HEALTH CARE (PHC) KUNINI,"Mallan-Kagwa, Taraba",taraba_lau, Taraba,9.23617601394653,11.4078104496002,False,3
OUR LORDâS HOSPITAL,"Achala Street, Onitsha North, Anambra",anambra_ogbaru, Anambra,6.1140131,6.78349674,True,1
MOTHER OF MERCY HOSPITAL & MATERNITY,"Onitsha-Owerri Road, Onitsha North, Anambra",anambra_ogbaru, Anambra,6.11838521,6.79158449,True,2
UCHECHI MATERNITY HOME OKPOKO,"Onitsha-Owerri Road, Onitsha North, Anambra",anambra_ogbaru, Anambra,6.10849731,6.78961036,True,2
OGECHUKWU MATERNITY HOME AND CLINIC,"Uzii Street, Onitsha North, Anambra",anambra_ogbaru, Anambra,6.1152096,6.783983,True,3
Royal City Specialist Hospital(Psycgiatri hosp,"Oke Odo Street, Olorunda, Osun",osun_olorunda, Osun,7.79362558,4.57793601,False,1
Ayomide Womenâs Health Specialist Hospital,"Ikirun Road, Olorunda, Osun",osun_olorunda, Osun,7.80292184,4.58059378,False,1
PHC godogodo,"K623, Ambe-Sarki, Kaduna",kaduna_jema_a, Kaduna,9.42991146,8.35496111,False,4
Omogbolahan Hospital,"Oke Odo Street, Olorunda, Osun",osun_olorunda, Osun,7.79136459,4.5809759,True,3
Triumph Medical Centre,"Idi Agbon Road, Olorunda, Osun",osun_olorunda, Osun,7.78067732,4.56776378,False,4
COTTAGE MATERNITY HOME,"Idi Agbon Road, Olorunda, Osun",osun_olorunda, Osun,7.78014852,4.56731852,False,4
Enikan-Oyun PHC,"Kolawole Street, Olorunda, Osun",osun_olorunda, Osun,7.77451741,4.5596635,False,3
Atelewo PHC,"Atelewo Street, Olorunda, Osun",osun_olorunda, Osun,7.77292477,4.56183632,True,2
Oluwatoyin Maternity Home,"Ajekigbe Road, Olorunda, Osun",osun_olorunda, Osun,7.78145459,4.55834112,False,1
"Oroki Hospital, Oshogbo","Igbonna Road, Olorunda, Osun",osun_olorunda, Osun,7.78024652,4.55731147,True,1
Olude PHC,"Steel Rolling Mill Road, Olorunda, Osun",osun_olorunda, Osun,7.81171727,4.55962507,False,4
Conprehensive Healtg Cebtreâ Oba Ile,"Ifelodun, Osun",osun_olorunda, Osun,7.91311672,4.57819864,False,4
Limawa health post,"Wudil, Kano",kano_kumbotso, Kano,11.89973218,8.5969525,True,2
IJEOMA MATERNITY HOME,"Achala Street, Onitsha North, Anambra",anambra_ogbaru, Anambra,6.11609829,6.78082491,True,1
Zara health post,"Wudil, Kano",kano_kumbotso, Kano,11.92739227,8.61110753,True,2
CHI- GOZIE MATERNITY HOME OKPOKO,"Achala Street, Onitsha North, Anambra",anambra_ogbaru, Anambra,6.11697538,6.78186445,True,4
INISA primary health centre,"Ilesha West, Osun",osun_atakunmosa_west, Osun,7.63037515,4.6667054,False,4
IWARO primary Health centre,"Atakumosa West, Osun",osun_atakunmosa_west, Osun,7.61506637,4.62970372,False,1
Sauki Nursing Home and Maternity,"Wazi Street, Kaduna, Kaduna",kaduna_igabi, Kaduna,10.5304525,7.37094971,False,1
BALOGUN primary health centre,"Ibadan-Ilesha Expressway, Atakumosa West, Osun",osun_atakunmosa_west, Osun,7.58705454,4.57124266,False,1
Osunjela primary health centre,"Osogbo-Ilesha Road, Osogbo, Osun",osun_atakunmosa_west, Osun,7.7368189,4.5977977,False,3
Abebeyun primary health centre,"Atakumosa West, Osun",osun_atakunmosa_west, Osun,7.67253741,4.63819113,False,2
Arewa Health Post,"Oriade, Osun",osun_atakunmosa_east, Osun,7.37969829,4.97036388,False,1
Ayegunle Health Post,"Atakumosa East, Osun",osun_atakunmosa_east, Osun,7.52420738,4.79434824,False,1
"Iyinolu Hospital, Ota Efun","Ikirun Road, Olorunda, Osun",osun_olorunda, Osun,7.82206361,4.58791631,False,4
"Ear, Nose and Throat Hospital","Ikirun Road, Olorunda, Osun",osun_olorunda, Osun,7.81845023,4.58937938,True,3
Primary Health Clinic Ojelana ,"Ijebu East, Ogun",ogun_ijebu_east, Ogun,6.81930664,4.16985689,False,1
HC AFAKA TSOHUWA,"Ambe-Sarki, Kaduna",kaduna_igabi, Kaduna,10.66763892,7.38463682,True,1
PHC Gbamugbamu,"Ijebu East, Ogun",ogun_ijebu_east, Ogun,6.84766496,4.21159641,False,1
JOEPIE NURSING AND MATERNITY HOME,"Emuze Street, Ikpoba-Okha, Edo",edo_ikpoba_okha, Edo,6.35766246,5.67820794,False,1
NDIAKPARATA AGBAJA HEALTH CENTRE,"Izzi, Ebonyi",ebonyi_izzi, Ebonyi,6.66841149330139,8.20918500423431,False,1
EDUKWUACHI AGBAJA MDG/CGS,"Izzi, Ebonyi",ebonyi_izzi, Ebonyi,6.59711837768555,8.19330096244812,False,2
OKALERU HEALTH CENTRE,"Izzi, Ebonyi",ebonyi_izzi, Ebonyi,6.43590688705444,8.18419754505157,False,3
GOVERNMENT HOUSE CLINIC,"Kashim Road, Kano, Kano",kano_tarauni, Kano,11.98273056,8.55182646,True,3
ALMU HOSPITAL,"Maiduguri Road, Kano, Kano",kano_tarauni, Kano,11.96829101,8.55140531,True,3
KUNDILA HEALTH POST,"Zaria Road, Kano, Kano",kano_tarauni, Kano,11.96407118,8.55630701,True,2
General Hospital,"Olamaboro, Kogi",kogi_olamaboro, Kogi,7.2083,7.5499,False,1
RENO DENTAL CLINIC,"Zaria Road, Kano, Kano",kano_tarauni, Kano,11.95829425,8.55998437,False,3
TARAUNI,"Bakin Zuwu Road, Kano, Kano",kano_tarauni, Kano,11.97947684,8.56128978,True,3
AL AMIN HOSPITAl,"Yautai Link Road, Kano, Kano",kano_tarauni, Kano,11.97118165,8.56043198,True,1
KINGSGATE HOSPITAL,"Express Way, Kano, Kano",kano_tarauni, Kano,11.96483042,8.56292299,True,3
MEDICARE CLINIC,"Ungunwa Uku, Kano, Kano",kano_tarauni, Kano,11.95403864,8.57057946,True,3
GODIYA HOSPITAL,"Zaria Road, Kano, Kano",kano_tarauni, Kano,11.9408219,8.56343559,True,3
BABBANGIJI HC,"Kano, Kano",kano_tarauni, Kano,11.95511307,8.54072126,True,2
HAUSAWA PHC,"Shaka Road, Kano, Kano",kano_tarauni, Kano,11.96304077,8.53532338,True,2
MCH RIJIYAR LEMO,"Hassan Usman Katsina Road, Kano, Kano",kano_fagge, Kano,12.05477438,8.4773927,False,4
ARMED FORCES SPECIALIST HOSPITAL,"Ashton Road, Kano, Kano",kano_fagge, Kano,12.03302128,8.51751168,True,3
MPHC RIJIYAR LEMO,"Hassan Usman Katsina Road, Kano, Kano",kano_fagge, Kano,12.04716989,8.4808879,False,2
SHEIKH JIDDA GENERAL HOSPITAL,"Galadima Road, Kano, Kano",kano_fagge, Kano,12.01018261,8.53387087,True,3
Magaji Abu Dispensary,"Sabua, Katsina",katsina_batsari, Katsina,13.0019366666667,7.22261333333333,True,1
GALADIMA HC,"Abba Gana Street, Kano, Kano",kano_fagge, Kano,12.00810781,8.5282675,False,4
COMPREHENSIVE HEALTH CENTRE AMACHARA AGBAJA,"Izzi, Ebonyi",ebonyi_izzi, Ebonyi,6.57078444957733,8.17663371562958,False,4
BAKIN RUWA,"Kano, Kano",kano_dala, Kano,11.99919368,8.50329484,True,2
KATUNDU,"Kofar Ruwa Road, Kano, Kano",kano_dala, Kano,12.01154138,8.50986061,False,4
JAH.UMMI ZARIA,"Hassan Usman Katsina Road, Kano, Kano",kano_dala, Kano,12.03500401,8.48659517,False,3
YALWA MCH,"Kano, Kano",kano_dala, Kano,12.00227779,8.50044288,False,4
Gorun Malam Dispensary,"Hinanbiro, Kebbi",kebbi_dandi, Kebbi,11.87084238,3.87953419,False,4
Uchenna hospital and maternity,"Onitsha-Owerri Road, Owerri Municipal, Imo",imo_owerri_west, Imo,5.51588773727417,6.99424088001251,True,2
EPID UNIT,"B111, Makurdi, Benue",benue_makurdi, Benue,7.72228896617889,8.56481373310089,True,2
Ihiagwa Health Center,"Owerri West, Imo",imo_owerri_west, Imo,5.4035460295075,7.01358171487142,True,4
St John's clinic and maternity,"Owerri West, Imo",imo_owerri_west, Imo,5.40242368643776,7.01064683439398,True,3
PHC UDANABIOMI,"Dekina, Kogi",kogi_dekina, Kogi,7.58020889,6.94905085,False,1
MGBO AGBAJA HEALTH POST,"Izzi, Ebonyi",ebonyi_izzi, Ebonyi,6.36947762,8.14571577,False,2
Garin Hamza Primary Health Center,"Sara, Bauchi",bauchi_alkaleri, Bauchi,9.87602833333333,10.9348516666667,False,1
"Imo State Specialist Hospital,Owerri.","Western Middle Tangent Arterial Highway, Owerri Municipal, Imo",imo_owerri_west, Imo,5.469029545784,7.00128972530365,True,4
Gwana Maternity.,"Sara, Bauchi",bauchi_alkaleri, Bauchi,9.6530020236969,10.751650929451,False,1
Zangoma Dispensary,"Sara, Bauchi",bauchi_kirfi, Bauchi,10.42486424,10.78207537,False,3
"CHIBUZOR MATERNITY, IRETE","Onitsha-Owerri Road, Owerri Municipal, Imo",imo_owerri_west, Imo,5.51671385765076,6.99323236942291,False,1
BOGIJE PHC,"Ibeju Lekki, Lagos",lagos_ibeju_lekki, Lagos,6.48474484,3.75683996,False,3
AWOYAYA(CBHIS PHC)II,"Lekki-Epe Expressway, Ibeju Lekki, Lagos",lagos_ibeju_lekki, Lagos,6.46767869,3.70534065,True,3
Mbaegbu Homeopathic Specialist Hospital Ltd,"Anaocha, Anambra",anambra_idemili_north, Anambra,6.09729025,6.98272549,True,2
PHC Ideani,"Idemili North, Anambra",anambra_idemili_north, Anambra,6.09210766,6.9279326,False,4
Comprehensive Health Clinic Atekombo,"Ushongo, Benue",benue_ushongo, Benue,7.04051053,9.11206396,False,3
Odoka Health facility,"Obokun, Osun",osun_boluwaduro, Osun,7.86427028,4.75210896,False,1
FATER CLINIC,"Gboko, Benue",benue_gboko, Benue,7.30961501598358,8.97333562374115,True,3
Community Health Clinic Tsumba Mbagba,"Ushongo, Benue",benue_ushongo, Benue,7.05566792,9.15476116,False,1
Ile-Aro Health post,"Boluwaduro, Osun",osun_boluwaduro, Osun,7.94792072,4.79090775,True,3
Eripa Dispensary,"Boluwaduro, Osun",osun_boluwaduro, Osun,7.94276396,4.74022198,False,4
"Eripa Primary Health Centre, Eripa.","Boluwaduro, Osun",osun_boluwaduro, Osun,7.94275184,4.74028515,False,3
Ibudokiriji Health Facility,"Boluwaduro, Osun",osun_boluwaduro, Osun,7.88078257,4.81019349,False,3
PHC Abacha,"Njikoka, Anambra",anambra_idemili_north, Anambra,6.14549526,6.95551269,False,2
